,Best Seller Ranking,Brand,Series,Model,Color,Operating System,CPU,Screen,Memory,Storage,Graphics Card,Video Memory,Dimensions (W x D x H),Weight,CPU Type,CPU Speed,Turbo Frequency,Number of Cores,CPU L3 Cache,Screen Size,Touchscreen,Wide Screen Support,Display Type,Resolution,Panel,LCD Features,GPU/VPU,Graphic Type,SSD,Memory Spec,Memory Slot (Total),Memory Slot (Available),Optical Drive Type,WLAN,WiFi Generation,Bluetooth,USB,HDMI,Keyboard,Backlit Keyboard,Webcam,Card Reader,Style,Type,Usage,Battery,Battery Life,Package Content,Date First Available,Price,Part Number,HDD,Memory Speed,Other Features,Core Name,Storage Spec,Max Memory Supported,Optical Drive Spec,Thunderbolt,Audio Ports,Touchpad,AC Adapter,Consumer Alert,Color Gamut,Audio,Memory Type,LAN,Ethernet,Speaker,Bezel Design,Chipset,Software Included,HDD RPM,HDD Interface,CPU Support,Video Port,Package Type,Other port,CPU L2 Cache,Refresh Rate,Virtual Reality Ready,Pointing Stick,Thunderbolt 3,Optical Drive,Tech,Smart Cache,Communication,Optical Drive Interface,Card slot
"Lenovo Laptop ThinkPad E15 G3 AMD Ryzen 5 5500U (2.10GHz) 8 GB Memory 256 GB SSD AMD Radeon Graphics 15.6"" Windows 10 Pro 64-bit",,Lenovo,ThinkPad E15 Gen 3,20YGS02Q00,Black,Windows 10 Pro (64-Bit),AMD Ryzen 5 5500U (2.10 GHz),"15.6""",8GB,256 GB M.2 NVMe PCIe SSD,AMD Radeon Graphics,Shared system memory,"14.40"" x 9.40"" x 0.70""",3.70 lbs.,AMD Ryzen 5 5000 Series,5500U (2.10GHz),,6-core Processor,8 MB,"15.6""",No,16:9,,1920 x 1080,IPS-Type LCD,,AMD Radeon Graphics,Integrated Card,256 GB M.2 NVMe PCIe,8 GB onboard,1,1,,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.2,1 x USB Type-A (USB 3.1 / USB 3.2 Gen 1)1 x USB Type-A (USB 2.0)1 x USB 3.1 / USB 3.2 Gen 1 (Supports DisplayPort and Power Delivery),1 x HDMI 1.4b,,,720p,,,Home / Personal,,"Lithium-Ion Polymer (LiPo), 45 Wh",Max 10.3 Hours,,"August 06, 2021","2    NaN
Name: 80, dtype: object",,,DDR4 3200,,,SSD Slots:1 x M.2 2242 PCIe x4 (In Use)1 x M.2 2280 PCIe x4 (Available),24 GB (8 GB onboard + 16 GB x 1),,,"1 x 1/8"" / 3.5 mm Headphone/Microphone Input/Output",Yes,65-watt AC Adapter,,,,260-Pin SO-DIMM,,1 x RJ-45,2 x 2 W,,,,,,,,,,,,,,,,,,,,
"Lenovo Laptop IdeaPad 3 15ITL6 82H801EPUS Intel Core i7 11th Gen 1165G7 (2.80GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit",,Lenovo,IdeaPad 3 15ITL6,82H801EPUS,Arctic Grey,Windows 11 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"15.6""",8GB,256 GB M.2 2242 PCIe 3.0x4 NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"14.14"" x 9.31"" x 0.78""",3.64 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,TN,TN 250 nits Anti-glare,Intel Iris Xe Graphics,Integrated Card,256 GB PCIe,4 GB onboard + 4 GB x 1,1,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.1,1 x USB 3.2 Gen 11 x USB-C 3.2 Gen 1 (support data transfer only)1 x USB 2.0,1 x HDMI 1.4b,"Backlit, English (US)",Backlit,720p with Privacy Shutter,4-in-1,Standard,Home / Personal,Consumer,Integrated 45Wh,MobileMark 2018: 7.5 hrLocal video (1080p) playback@150nits: 12 hr,,"October 18, 2021","2    774.99
Name: 81, dtype: object",,No,DDR4 3200,Security Chip: Firmware TPM 2.0Fingerprint Reader: Touch Style,Tiger Lake,"Storage Support:one drive, 1x M.2 SSDM.2 2242 SSD up to 512GBM.2 2280 SSD up to 1TB",,,,1 x Headphone/Microphone Combo Jack,,"65W Round Tip (2-pin, Wall-mount)",,,"High Definition (HD) Audio, Realtek ALC3287 codec",,,,"Stereo speakers, 1.5W x2, Dolby Audio",,,,,,,,,,,,,,,,,,,,
"Dell Latitude 3000 3420 14"" Notebook - HD - 1366 x 768 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black - Windows 10 Pro - Intel Iris Xe Graphics -",,DELL,3000,Latitude 3420,Black,Windows 10 Pro,Intel Core i5-1135G7 4 Core Processor 4.2 GHz,,8GB,,Intel Iris Xe Graphics,,0.73 x 13 x 9.37,3.7 Pounds,,,,Quad-core Processor,8 MB,"14.0""",No,,IPS,1366 x 768,,,Integrated Graphics,Integrated Card,,8 GB x 1,2,1,No,802.11ac Wireless LAN,,Yes,3,1 x HDMI,Standard,Non-backlit,Yes,,Notebook,Work / Business,,Lithium-Ion,Battery life up to 6 Hours,,"June 17, 2021","2    774.34
Name: 82, dtype: object",Y2YWR-NW,,,,,256 GB PCIe NVMe Hard Drive,32 GB,Not Included,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Latitude 3000 3420 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 (11th Gen) i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black - Windows 10 Pro - Intel Iris Xe Grap",,DELL,3000,Latitude 3420,Black,Windows 10 Pro,Intel Core i5-1135G7 4 Core Processor 4.2 GHz,,8GB,,Intel Iris Xe Graphics,,0.73 x 13 x 9.37,3.35 lbs,,,,Quad-core Processor,8 MB,"14.0""",No,,IPS,1920 x 1080,,,Integrated Graphics,Integrated Card,,8 GB x 1,2,1,No,802.11ac Wireless LAN,,Yes,3,1 x HDMI,Standard,Non-backlit,Yes,,Notebook,Work / Business,,Lithium-Ion,Battery life up to 6 Hours,,"June 18, 2021","2    799.99
Name: 83, dtype: object",Y2TX3,,,,,256 GB PCIe NVMe Hard Drive,32 GB,Not Included,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Creator 15 A11UE-491 15.6"" UHD 4K OLED Thin Bezel Intel Core i7 11th Gen 11800H (2.30GHz) 16 GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU Windows 10 Home 64-bit",#4 in Laptops / Notebooks,MSI,,Creator 15 A11UE-491,Black,Windows 10 Home 64-bit,Intel Core i7-11800H 2.30 GHz,"15.6"" 4K/UHD OLED",16GB,512 GB NVMe SSD,NVIDIA GeForce RTX 3060 Laptop GPU,6GB,"14.11"" x 9.76"" x 0.78""",4.62 lbs.,Intel Core i7 11th Gen,11800H (2.30GHz),Up to 4.60 GHz,8-core Processor,24 MB,"15.6"" 4K / UHD",No,Yes,,3840 x 2160,OLED,"UHD OLED 4K Thin Bezel, 100% DCI-P3",NVIDIA GeForce RTX 3060 Laptop GPU,Dedicated Card,512 GB NVMe,8 GB x 2,2,0,No,Killer WiFi 6E AX1675 (2x2),Wi-Fi 6E,Bluetooth 5.2,1 x USB 3.2 Gen 2 Type-C w/ DP3 x USB 3.2 Gen 2 Type-A,1 x HDMI (4K@120Hz / 8K@60Hz),Per key RGB backlight KB (84 Key),Backlit,IR 720p HD Webcam,,Thin and Light,Content Creation,Business,4 cell (99.9Whr) Li-Polymer,,,"September 27, 2021","2    1,399.00
Name: 84, dtype: object",,,DDR4 3200,,Tiger Lake,,64 GB,,1 x Thunderbolt 4,1 x Headphone/Microphone Combo Jack (Hi-Res Audio),Silky Glass Multi Touch with Finger print reader,230W Slim,,100% DCI-P3,,,Killer E3100 2.5GbE,1 x RJ-45 (2.5Gbps),Speakers 2W x 2,Thin,Intel HM570,,,,,,,,,,,,,,,,,,
"MSI Laptop Summit E14 A11SCS-088 Intel Core i7 11th Gen 1185G7 (3.00GHz) 16GB Memory 1 TB NVMe SSD NVIDIA GeForce GTX 1650 Ti Max-Q 14.0"" 4K / UHD Windows 10 Pro 64-bit",#55 in Laptops / Notebooks,MSI,,Summit E14 A11SCS-088,Ink Black,Windows 10 Pro 64-bit,Intel Core i7-1185G7 3.00 GHz,"14"" 4K/UHD",16GB,1 TB NVMe SSD,NVIDIA GeForce GTX 1650 Ti Max-Q,4GB,"12.56"" x 8.62"" x 0.63""",2.84 lbs.,Intel Core i7 11th Gen,1185G7 (3.00GHz),Up to 4.80 GHz,Quad-core Processor,12 MB,"14.0"" 4K / UHD",No,Yes,,3840 x 2160,,,NVIDIA GeForce GTX 1650 Ti Max-Q,Dedicated Card,1 TB NVMe,16 GB onboard,0,0,No,Intel Wi-Fi 6 AX201 (2x2 ax),Wi-Fi 6,Bluetooth 5.1,1 x USB 2.0,,White backlight keyboard (84 Key),Backlit,IR HD Type (30fps / 720p),Micro SD (UHS-III),Thin and Light,Work / Business,Business,3 cell (52Whr) Li-Polymer,Up to 20 Hours,Include RJ45 dongle,"November 06, 2020","2    1,149.00
Name: 85, dtype: object",,No,LPDDR4X 4267 MHz,TPM 2.0,Tiger Lake,,,,"2 x Thunderbolt 4 (Support Power delivery, DP 1.4a, USB 4.0)",Mic-in/Headphone-out Combo,Silky Glass Multi Touch with Finger print reader (Support FIDO 2),90W Compact,,100% Adobe RGB,,,Hub Dongle,,Speakers 2W x 2,Thin,,,,,,,,,,,,,,,,,,,
"MSI Laptop Modern 15 A11M-004 Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Home (Free upgrade to Win 11)",#33 in Laptops / Notebooks,MSI,,Modern 15 A11M-004,Carbon Gray,Windows 10 Home (Free upgrade to Win 11),Intel Core i7-1165G7 2.80 GHz,"15.6"" IPS",16GB,512 GB NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"14.05"" x 9.20"" x 0.67""",3.53 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,IPS-Level 60 Hz 45% NTSC Thin Bezel,Intel Iris Xe Graphics,Integrated Card,512 GB NVMe,8 GB x 2,2,0,No,Intel Harrison Peak (2x2 802.11ax),Wi-Fi 6,Bluetooth 5.1 (2x2),2 x USB 3.2 Gen 2 Type-A1 x USB 3.2 Gen 1 Type-A,1 x HDMI (4K @ 30Hz),White backlight 84 Key,Backlit,720p HD Webcam,Micro SD,Thin and Light,Work / Business,Business,3 cell (52Whr) Li-Polymer,,"Sleeve, RJ45 dongle","April 08, 2022","2    699.00
Name: 86, dtype: object",,No,DDR4 2666,,Tiger Lake,,64 GB,,1 x Thunderbolt 4,1 x Mic-in/Headphone-out Combo,Multi Touch,65-watt AC Adapter,,45% NTSC,,,,,Speakers 2W x 2,Thin,,,,,,,,,,,,,,,,,,,
"MSI Laptop Creator Z16P B12UGST-042 Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 3070 Ti Laptop GPU 16.0"" Touchscreen Windows 11 Pro 64-bit",,MSI,,Creator Z16P B12UGST-042,Lunar Gray,Windows 11 Pro 64-bit,Intel Core i7-12700H (Up to 4.70 GHz),"16"" QHD+ 165 Hz Touchscreen",16GB,1 TB NVMe SSD,NVIDIA GeForce RTX 3070 Ti Laptop GPU,8GB,"14.13"" x 10.08"" x 0.75""",6.38 lbs.,Intel Core i7 12th Gen,12700H (2.30GHz),Up to 4.70 GHz,14-core (6P+8E) Processor,24 MB,"16.0""",Yes,Yes,QHD+,2560 x 1600,,"16:10, 165 Hz 100% DCI-P3 Touch panel, support MSI active Pen (MPP2.0)",NVIDIA GeForce RTX 3070 Ti Laptop GPU,Dedicated Card,1 TB NVMe,8 GB x 2,2,0,No,Killer WiFi 6E AX1675 (2x2),Wi-Fi 6E,Bluetooth 5.2,1 x USB 3.2 Gen 2 Type-A1 x USB 3.2 Gen 2 Type-C,,Per-key RGB Keyboard (99 key),Backlit,IR FHD Type (30fps/1080p),Full Size SD Express,Standard,Content Creation / Work / Business,Business,4 cell (90Whr) Li-Polymer,,,"January 25, 2022","2    2,899.00
Name: 87, dtype: object",,No,DDR5 4800,,Alder Lake,,64 GB,,1 x Thunderbolt 4 / USB4 (w/ PD Charging),Mic-in/Headphone-out Combo,Silky Glass Multi Touch with Finger print reader,240-watt AC Adapter,,100% DCI-P3,,,,,"Dynaudio Speakers 2W x 4, DTS",,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 15 M515 Thin and Light Laptop, 15.6 IPS FHD Display, AMD Ryzen 5 5500U, 16GB DDR4 RAM, 512GB PCIe SSD, Fingerprint Reader, Windows 10 Home, Silver, M515UA-EB56-SL",#3 in Laptops / Notebooks,ASUS,,M515UA-EB56-SL,Silver,Windows 10 Home 64-bit,AMD Ryzen 5 5500U 2.10 GHz,"15.6""",16GB,512 GB PCIe SSD,AMD Radeon Graphics,Shared system memory,"14.18"" x 9.25"" x 0.78""",3.97 lbs.,AMD Ryzen 5 5000 Series,5500U (2.10GHz),,6-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,,"16:9, 250 nits, Anti-Glare, 45% NTSC, Wide View, LED Back-lit-Narrow border",AMD Radeon Graphics,Integrated Card,512 GB PCIe,8 GB onboard + 8 GB x 1,1,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.1 (Dual band) 1x1,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,VGA camera,,Thin and Light,Home / Personal,Consumer,"37WHrs, 2S1P, 2-cell Li-ion",,,"January 19, 2022","2    619.99
Name: 88, dtype: object",90NB0U12-M05820,,,Fingerprint reader,,,,,,1 x 3.5mm Combo Audio Jack,,,,45% NTSC,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 14ADA05 82GW009WUS 14"" Notebook - Full HD - 1920 x 1080 - AMD Athlon Silver 3050e Dual-core (2 Core) 1.40 GHz - 4 GB RAM - 128 GB SSD - Platinum Gray - AMD Chip - Windows 11 Home",#28 in Laptops / Notebooks,Lenovo,,,Gray,,,,4GB,,,,,,,,,,,"14.0""",,,,1920 x 1080,,,,Integrated Card,,,,,No,,,Yes,,1 x HDMI,,,Yes,,,Home / Personal,,,,,"January 26, 2022","2    237.99
Name: 89, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Laptop Modern 15 A11MU-654 Intel Core i5 11th Gen 1155G7 (2.50GHz) 8GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Home 64-bit",#6 in Laptops / Notebooks,MSI,,Modern 15 A11MU-654,Carbon Gray,Windows 10 Home 64-bit,Intel Core i5-1155G7 2.50 GHz,"15.6"" IPS",8GB,512 GB NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"14.05"" x 9.20"" x 0.67""",3.52 lbs.,Intel Core i5 11th Gen,1155G7 (2.50GHz),Up to 4.50 GHz,Quad-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,IPS-Level 60 Hz 45% NTSC Thin Bezel,Intel Iris Xe Graphics,Integrated Card,512 GB NVMe,8 GB x 1,2,1,No,Intel Harrison Peak (2x2 802.11 ax),Wi-Fi 6,Bluetooth 5.1 (2x2),1 x USB 3.2 Gen 2 Type-C2 x USB 3.2 Gen 2 Type-A1 x USB 2.0,1 x HDMI (4K @ 30Hz),White backlight 84 Key,Backlit,720p HD Webcam,Micro SD,Thin and Light,Mainstream,Business,3 cell (52Whr) Li-Polymer,,,"October 06, 2021","2    599.00
Name: 90, dtype: object",,,DDR4 2666,,Tiger Lake,,64 GB,,,Mic-in/Headphone-out Combo,Multi Touch,65-watt AC Adapter,,45% NTSC,,,,,Speakers 2W x 2,Thin,,,,,,,,,,,,,,,,,,,
"New Macbook Pro 13.3-inch (Retina, Silver, 1 Year Warranty) 2.3Ghz Dual Core i5 (Mid 2017) MPXR2LL/A 128GB SSD 8GB Memory 2560x1600 Display Mac OS Hi Sierra New Power Adapter Original Apple Box",#64 in Laptops / Notebooks,Apple,MacBook Pro,,Silver,macOS 10.13 High Sierra,,,8GB,128 GB,,Shared system memory,"Height: 0.59 inch, Width: 11.97 inches, Depth: 8.36 inches, Weight: 3.02 pounds",3 - 3.9 lbs.,Intel Core i5,2.30GHz,,Dual-core Processor,,"13.3""",No,,Retina Display,2560 x 1600,,,Intel Iris Plus Graphics 640,,128 GB,,,,No,802.11a/b/g/n  Wireless LAN,,Bluetooth 4.2,,,,,Yes,,Thin and Light,Everyday Value,,,,"Macbook Pro Laptop shipped in heavy duty shipping boxes for maximum protection with original Apple Box inside, battery, AC adapter and power cord, Apple macOS Hi Sierra installed.  Paper manuals not included. Electronic versions are available online.","February 25, 2022","2    616.00
Name: 91, dtype: object",MPXR2LL/A,No,,,,,16 GB,,,,,,,,Integrated Sound card,,,,Integrated Stereo Speakers,,,,,,,,,,,,,,,,,,,,
"GIGABYTE U4 UD - 14.0"" Thin Bezel FHD IPS-Level i7-1195G7 Intel Iris Xe Graphics 512 GB PCIe SSD Win 10 Home Laptop (U4 UD-70US823SH)",#38 in Laptops / Notebooks,GIGABYTE,,U4 UD-70US823SH,,Windows 10 Home 64-bit,Intel Core i7-1195G7 2.90 GHz,"14"" IPS",16GB,512 GB Gen4 SSD,Intel Iris Xe Graphics,Shared system memory,"12.68"" x 8.54"" x 0.68""",2.18 lbs.,Intel Core i7 11th Gen,1195G7 (2.90GHz),Up to 5.00 GHz,Quad-core Processor,12 MB,"14.0""",No,Yes,Full HD,1920 x 1080,IPS,Thin Bezel IPS-level Anti-glare Display LCD,Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,8 GB onboard + 8 GB x 1,1,0,No,"Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Wi-Fi 6,Bluetooth 5.2,1 x USB 3.2 Gen 1 Type-A / 1 x USB 3.2 Gen 2 Type-A,1 x HDMI 2.0 (with HDCP),Backlit Keyboard (White Color),Backlit,,Micro SD,Thin and Light,Home / Personal,Consumer,Li-ion 36Wh,,,"November 09, 2021","2    649.00
Name: 92, dtype: object",,No,DDR4 3200,,Tiger Lake,"2 x M.2 SSD slots (Type 2280, supports 1x NVMe PCIe Gen3 & SATA/ 1x NVMe PCIe Gen4)",,,1 x Thunderbolt 4 (Type-C) (USB4 / DP / PD charging),1 x Headphone/Microphone Combo Jack,,65-watt AC Adapter,,,Dual-Array MicrophoneDTS:X Ultra,,,,2 x 1.5 Watt Speaker,Thin,,,,,,,,,,,,,,,,,,,
"Lenovo Legion 5 Pro 16"" 165Hz QHD IPS NVIDIA G-Sync 500 nits Gaming Laptop AMD Ryzen 7-5800H 16GB RAM 1TB SSD RTX 3070 8GB GDDR6 TGP 130W",#27 in Laptops / Notebooks,Lenovo,,,,Windows 11 Home,,,16GB,,,,,,,,,,,"16.0""",No,,,2560 x 1600,,,,Integrated Card,1 TB,,,,,,,Yes,,1 x HDMI 2.1,,RGB Backlit,,,,Gaming,,,,,"December 21, 2021","2    1,579.99
Name: 93, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Laptop Aspire 5 A515-45-R4P4 AMD Ryzen 5 5000 Series 5500U (2.10GHz) 8GB Memory 512 GB NVMe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit",#100 in Laptops / Notebooks,Acer,Aspire 5,A515-45-R4P4,Pure Silver,Windows 11 Home 64-bit,AMD Ryzen 5 5500U 2.10 GHz,"15.6"" IPS",8GB,512 GB NVMe SSD,AMD Radeon Graphics,Shared system memory,"14.31"" x 9.86"" x 0.71""",3.88 lbs.,AMD Ryzen 5 5000 Series,5500U (2.10GHz),,6-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,Acer ComfyView Widescreen LED-backlit IPS Display,AMD Radeon Graphics,Integrated Card,512 GB NVMe,8 GB onboard,1,1,No,802.11ax Wi-Fi 6 Dual-Band 2.4GHz and 5GHz featuring 2x2 MU-MIMO technology,Wi-Fi 6,Bluetooth 5.0,1 x USB 3.2 Gen 1 Type-C (up to 5 Gbps)2 x USB 3.2 Gen 1 Type-A (one with Power-off Charging)1 x USB 2.0,1 x HDMI 2.0 Port with HDCP support,,Backlit,HD Webcam (1280 x 720),,Thin and Light,Home / Personal,Consumer,Lithium Ion,Up to 11 Hours,LaptopAC Adapter & Power CordHard Drive Upgrade Kit,"February 09, 2022","2    617.99
Name: 94, dtype: object",NX.A82AA.00G,No,,Acer Fingerprint Reader supporting Windows Hello,,1 x Available Hard Drive Bay,24 GB (8 GB onboard + 16 GB x 1),,,1 x Headphone/Microphone Combo Jack,"Multi-gesture touchpad, supporting two-finger scroll; pinch; gestures to open Cortana, Action Center, multitasking; application commands",,,,Acer TrueHarmony Gen 2 TechnologyAcer Purified.Voice Technology with Two Built-in MicrophonesCompatible with Cortana with Voice,,10/100/1000Mbps,1 x RJ-45 (1Gbps),Two Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 15 S513 Thin and Light Laptop, 15.6"" FHD Display, AMD Ryzen 7 5700U Processor, Radeon Graphics, 8GB DDR4 RAM, 1TB PCIe SSD, Fingerprint, Windows 10 Home, Indie Black, S513UA-DS74",#32 in Laptops / Notebooks,ASUS,VivoBook,S513UA-DS74,Indie Black,Windows 10 Home 64-bit,AMD Ryzen 7 5700U 1.80 GHz,"15.6""",8GB,1 TB M.2 NVMe PCIe 3.0 SSD,AMD Radeon Graphics,Shared system memory,"14.17"" x 9.26"" x 0.73""",3.97 lbs.,AMD Ryzen 7 5000 Series,5700U (1.80GHz),Up to 4.30 GHz,8-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,"250 nits, Anti-glare",AMD Radeon Graphics,Integrated Card,1 TB PCIe,4 GB onboard + 4 GB x 1,1,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.1 (Dual band) 1x1,2 x USB 2.01 x USB 3.1 Gen 1 Type-A 1 x USB 3.1 Gen 1 Type-C,1 x HDMI 1.4,Backlit Chiclet Keyboard with Num-key,Backlit,720p HD camera,,Thin and Light,Home / Personal,Consumer,"42 WHrs, 3S1P, 3-cell Li-ion",,,"March 04, 2021","2    699.99
Name: 95, dtype: object",90NB0TP1-M00320,,,Fingerprint reader,,1 TB M.2 NVMe PCIe 3.0 SSD,,,,1 x 3.5mm Combo Audio Jack,,"65W AC AdapterOutput: 19V DC, 3.42A, 65W Input: 100~240V AC 50/60Hz universal",,45% NTSC,Built-in microphoneHarman/kardon (Mainstream),,,,Built-in speaker,,,,,,,,,,,,,,,,,,,,
"ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6"" OLED 4K UHD Touch Display, Intel Core i9-11900H, 32GB, 1TB, GeForce RTX 3080 Laptop GPU, ScreenPad Plus, Windows 11 Pro, Celestial Blue, UX582HS-XH99T",#31 in Laptops / Notebooks,ASUS,ZenBook Pro Duo,UX582HS-XH99T,Celestial Blue,Windows 11 Pro 64-bit,Intel Core i9-11900H 2.50 GHz,"15.6"" 4K/UHD OLED Touchscreen",32GB,1 TB PCIe SSD + TPM,NVIDIA GeForce RTX 3080 Laptop GPU,8GB,"14.17"" x 9.81"" x 0.85""",5.16 lbs.,Intel Core i9 11th Gen,11900H (2.50GHz),Up to 4.90 GHz,8-core Processor,24 MB,"15.6"" 4K / UHD",Yes,Yes,UHD,3840 x 2160,OLED,"OLED, UHD 16:9, 400 nits (HDR), Glare, 100% DCI-P3, Wide View, Narrow border",NVIDIA GeForce RTX 3080 Laptop GPU,Dedicated Card,1 TB PCIe,32 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 2 Type-A,1 x HDMI 2.1,Backlit Chiclet Keyboard with Num-key,Backlit,HD camera with IR function to support Windows Hello,,Standard,Content Creation,Consumer,"92WHrs, 4S2P, 8-cell Li-ion",,"Backpack, Plamrest, Stand, Stylus","December 13, 2021","2    3,049.99
Name: 96, dtype: object",90NB0V21-M00770,No,,,Tiger Lake,,,,2 x Thunderbolt 4 supports display / power delivery,1 x 3.5mm Combo Audio Jack,"NumberPad, ScreenPad Plus",,,100% DCI-P3,,,,,,,Intel HM570,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 15 S513 Thin and Light Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Processor, Radeon Graphics, 8GB DDR4 RAM, 512GB PCIe SSD, Fingerprint, Windows 10 Home, Indie Black, S513UA-DS51",#53 in Laptops / Notebooks,ASUS,VivoBook,S513UA-DS51,Indie Black,Windows 10 Home 64-bit,AMD Ryzen 5 5500U 2.10 GHz,"15.6""",8GB,512 GB M.2 NVMe PCIe 3.0 SSD,AMD Radeon Graphics,Shared system memory,"14.17"" x 9.26"" x 0.73""",3.97 lbs.,AMD Ryzen 5 5000 Series,5500U (2.10GHz),Up to 4.00 GHz,6-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,"250 nits, Anti-glare",AMD Radeon Graphics,Integrated Card,512 GB PCIe,4 GB onboard + 4 GB x 1,1,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.1 (Dual band) 1x1,2 x USB 2.01 x USB 3.1 Gen 1 Type-A 1 x USB 3.1 Gen 1 Type-C,1 x HDMI 1.4,Backlit Chiclet Keyboard with Num-key,Backlit,720p HD camera,,Thin and Light,Home / Personal,Consumer,"42 WHrs, 3S1P, 3-cell Li-ion",,,"March 04, 2021","2    599.99
Name: 97, dtype: object",90NB0TP1-M00310,,,Fingerprint reader,,512 GB M.2 NVMe PCIe 3.0 SSD,16 GB,,,1 x 3.5mm Combo Audio Jack,,"65W AC AdapterOutput: 19V DC, 3.42A, 65W Input: 100~240V AC 50/60Hz universal",,45% NTSC,Built-in microphoneHarman/kardon (Mainstream),,,,Built-in speaker,,,,,,,,,,,,,,,,,,,,
"HP 17 Laptop, 17.3"" IPS FHD Display, Intel Core i5-1135G7 Upto 4.2GHz, 16GB RAM, 1TB NVMe SSD, HDMI, Wi-Fi, Bluetooth, Windows 10 Pro",#9 in Laptops / Notebooks,HP,,17,Silver,Windows 10 Pro,Intel Core i5-1135G7,"17.3"" FHD Display",16GB,1 TB,Intel Iris Xe Graphics,,"10.71"" x 16.3"" x 0.96""",5 - 5.9 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),4.2GHz,Quad-core Processor,,"17.3""",No,Yes,Full HD,1920 x 1080,,In-plane Switching (IPS) Technology,Intel Iris Xe Graphics,Integrated Card,1 TB,8 GB x 2,2,0,None,Wi-Fi 5 (802.11ac),,Bluetooth 4.2,"2x USB 3.1 Gen 1, 1x USB 2.0",1 x HDMI,Standard,Non-backlit,Yes,,,,,3-cell Lithium Ion,> 5 hours,,"December 21, 2021","2    729.00
Name: 98, dtype: object",,No,DDR4 2400,,,1TB NVMe SSD,32 GB,,,1 x Headphone/Microphone Combo Jack,Yes,45-watt AC Adapter,,,Integrated Sound card,2 x SO-DIMM,10/100/1000Mbps,,Integrated Stereo Speakers,,,,,,8MB SmartCache,1x HDMI,Retail,,,,,,,,,,,,
